home_team,away_team,home_score,away_score,week
Leeds,Manchester Reds,-,-,English League WEEK 35 - #2026020510
Tottenham,Liverpool,-,-,English League WEEK 35 - #2026020510
Brighton,Southampton,-,-,English League WEEK 35 - #2026020510
London Reds,Sheffield U,-,-,English League WEEK 35 - #2026020510
Palace,West Brom,-,-,English League WEEK 35 - #2026020510
Aston V,Burnley,-,-,English League WEEK 35 - #2026020510
Wolves,Everton,-,-,English League WEEK 35 - #2026020510
London Blues,Fulham,-,-,English League WEEK 35 - #2026020510
Newcastle,West Ham,-,-,English League WEEK 35 - #2026020510
Manchester Blue,Leicester,-,-,English League WEEK 35 - #2026020510
Fulham,Tottenham,3,0,English League WEEK 34 - #2026020510
West Ham,Wolves,0,0,English League WEEK 34 - #2026020510
Leeds,Aston V,1,4,English League WEEK 34 - #2026020510
Burnley,Newcastle,3,0,English League WEEK 34 - #2026020510
Everton,London Reds,0,1,English League WEEK 34 - #2026020510
West Brom,Brighton,0,0,English League WEEK 34 - #2026020510
Leicester,Liverpool,0,1,English League WEEK 34 - #2026020510
Sheffield U,Manchester Blue,1,0,English League WEEK 34 - #2026020510
Manchester Reds,Palace,1,1,English League WEEK 34 - #2026020510
Southampton,London Blues,1,4,English League WEEK 34 - #2026020510
Sheffield U,Leicester,3,2,English League WEEK 33 - #2026020510
Palace,Aston V,1,1,English League WEEK 33 - #2026020510
London Reds,West Ham,4,2,English League WEEK 33 - #2026020510
Manchester Blue,Everton,0,1,English League WEEK 33 - #2026020510
Tottenham,Southampton,4,2,English League WEEK 33 - #2026020510
Brighton,Manchester Reds,1,0,English League WEEK 33 - #2026020510
Newcastle,Leeds,0,2,English League WEEK 33 - #2026020510
Liverpool,Fulham,0,0,English League WEEK 33 - #2026020510
Wolves,Burnley,0,1,English League WEEK 33 - #2026020510
London Blues,West Brom,4,2,English League WEEK 33 - #2026020510
West Brom,Tottenham,2,2,English League WEEK 32 - #2026020510
Leicester,Fulham,2,1,English League WEEK 32 - #2026020510
Burnley,London Reds,1,2,English League WEEK 32 - #2026020510
Aston V,Brighton,0,3,English League WEEK 32 - #2026020510
West Ham,Manchester Blue,2,2,English League WEEK 32 - #2026020510
Manchester Reds,London Blues,1,4,English League WEEK 32 - #2026020510
Southampton,Liverpool,1,4,English League WEEK 32 - #2026020510
Leeds,Wolves,0,1,English League WEEK 32 - #2026020510
Palace,Newcastle,3,2,English League WEEK 32 - #2026020510
Everton,Sheffield U,1,2,English League WEEK 32 - #2026020510
London Reds,Leeds,3,1,English League WEEK 31 - #2026020510
Tottenham,Manchester Reds,3,3,English League WEEK 31 - #2026020510
Wolves,Palace,2,2,English League WEEK 31 - #2026020510
Fulham,Southampton,3,0,English League WEEK 31 - #2026020510
London Blues,Aston V,2,1,English League WEEK 31 - #2026020510
Everton,Leicester,1,0,English League WEEK 31 - #2026020510
Liverpool,West Brom,0,1,English League WEEK 31 - #2026020510
Manchester Blue,Burnley,1,1,English League WEEK 31 - #2026020510
Brighton,Newcastle,3,3,English League WEEK 31 - #2026020510
Sheffield U,West Ham,2,1,English League WEEK 31 - #2026020510
Brighton,Wolves,3,2,English League WEEK 30 - #2026020510
West Ham,Everton,0,1,English League WEEK 30 - #2026020510
Aston V,Tottenham,1,1,English League WEEK 30 - #2026020510
Manchester Reds,Liverpool,1,1,English League WEEK 30 - #2026020510
Burnley,Sheffield U,0,0,English League WEEK 30 - #2026020510
Newcastle,London Blues,2,1,English League WEEK 30 - #2026020510
Leeds,Manchester Blue,1,1,English League WEEK 30 - #2026020510
Palace,London Reds,1,1,English League WEEK 30 - #2026020510
Leicester,Southampton,3,0,English League WEEK 30 - #2026020510
West Brom,Fulham,1,1,English League WEEK 30 - #2026020510
Fulham,Manchester Reds,3,0,English League WEEK 29 - #2026020510
London Blues,Wolves,0,1,English League WEEK 29 - #2026020510
Manchester Blue,Palace,0,1,English League WEEK 29 - #2026020510
Liverpool,Aston V,1,1,English League WEEK 29 - #2026020510
West Ham,Leicester,1,1,English League WEEK 29 - #2026020510
Sheffield U,Leeds,4,2,English League WEEK 29 - #2026020510
Southampton,West Brom,0,1,English League WEEK 29 - #2026020510
Everton,Burnley,0,1,English League WEEK 29 - #2026020510
London Reds,Brighton,1,1,English League WEEK 29 - #2026020510
Tottenham,Newcastle,1,0,English League WEEK 29 - #2026020510
Manchester Reds,Southampton,3,1,English League WEEK 28 - #2026020510
Wolves,Tottenham,1,2,English League WEEK 28 - #2026020510
Leicester,West Brom,0,2,English League WEEK 28 - #2026020510
London Blues,London Reds,3,0,English League WEEK 28 - #2026020510
Leeds,Everton,0,2,English League WEEK 28 - #2026020510
Brighton,Manchester Blue,2,2,English League WEEK 28 - #2026020510
Palace,Sheffield U,0,2,English League WEEK 28 - #2026020510
Newcastle,Liverpool,1,2,English League WEEK 28 - #2026020510
Aston V,Fulham,3,1,English League WEEK 28 - #2026020510
Burnley,West Ham,1,1,English League WEEK 28 - #2026020510
Fulham,Newcastle,3,3,English League WEEK 27 - #2026020510
West Ham,Leeds,2,2,English League WEEK 27 - #2026020510
Southampton,Aston V,1,0,English League WEEK 27 - #2026020510
Everton,Palace,1,2,English League WEEK 27 - #2026020510
Sheffield U,Brighton,1,3,English League WEEK 27 - #2026020510
Burnley,Leicester,1,1,English League WEEK 27 - #2026020510
West Brom,Manchester Reds,0,0,English League WEEK 27 - #2026020510
Manchester Blue,London Blues,2,0,English League WEEK 27 - #2026020510
Tottenham,London Reds,1,4,English League WEEK 27 - #2026020510
Liverpool,Wolves,0,0,English League WEEK 27 - #2026020510
London Reds,Liverpool,1,3,English League WEEK 26 - #2026020510
Tottenham,Manchester Blue,1,0,English League WEEK 26 - #2026020510
Newcastle,Southampton,1,3,English League WEEK 26 - #2026020510
Aston V,West Brom,1,1,English League WEEK 26 - #2026020510
London Blues,Sheffield U,1,4,English League WEEK 26 - #2026020510
Wolves,Fulham,0,4,English League WEEK 26 - #2026020510
Palace,West Ham,3,1,English League WEEK 26 - #2026020510
Leeds,Burnley,1,0,English League WEEK 26 - #2026020510
Brighton,Everton,1,0,English League WEEK 26 - #2026020510
Leicester,Manchester Reds,2,1,English League WEEK 26 - #2026020510
Sheffield U,Tottenham,0,1,English League WEEK 25 - #2026020510
Liverpool,Manchester Blue,0,2,English League WEEK 25 - #2026020510
West Ham,Brighton,2,2,English League WEEK 25 - #2026020510
Everton,London Blues,2,2,English League WEEK 25 - #2026020510
Burnley,Palace,0,1,English League WEEK 25 - #2026020510
Manchester Reds,Aston V,0,2,English League WEEK 25 - #2026020510
Leeds,Leicester,2,3,English League WEEK 25 - #2026020510
Southampton,Wolves,1,0,English League WEEK 25 - #2026020510
Fulham,London Reds,2,2,English League WEEK 25 - #2026020510
West Brom,Newcastle,3,0,English League WEEK 25 - #2026020510
Newcastle,Manchester Reds,3,1,English League WEEK 24 - #2026020510
Manchester Blue,Fulham,0,1,English League WEEK 24 - #2026020510
London Reds,Southampton,3,1,English League WEEK 24 - #2026020510
London Blues,West Ham,3,2,English League WEEK 24 - #2026020510
Tottenham,Everton,0,2,English League WEEK 24 - #2026020510
Wolves,West Brom,0,2,English League WEEK 24 - #2026020510
Brighton,Burnley,0,0,English League WEEK 24 - #2026020510
Palace,Leeds,4,0,English League WEEK 24 - #2026020510
